Index,Name,MARCATS Classification,River/Ocean Dominated,SST ALL,H+ CO2+CLIM,H+ ALL,NPP CO2+CLIM,NPP ALL,Oxygen CO2+CLIM,Oxygen ALL
1,North-eastern Pacific,Subpolar,Ocean,-2.84E-01,1.06E-09,1.05E-09,1.89E+01,2.94E+01,-1.90E-01,-2.91E-01
2,California Current,Eastern Boundary Current,Ocean,-2.37E-01,5.75E-10,5.52E-10,1.06E+02,1.17E+02,-6.59E-01,-5.93E-01
3,Tropical Eastern Pacific,Tropical,Ocean,-7.28E-01,7.30E-10,6.35E-10,1.18E+02,1.36E+02,-2.68E-01,-2.57E-01
4,Peruvian Upwelling Current,Eastern Boundary Current,Ocean,-8.69E-01,5.08E-10,4.90E-10,5.78E+01,7.19E+01,-1.43E-01,-1.39E-01
5,South America,Subpolar,Ocean,-1.92E-01,1.20E-09,1.26E-09,1.03E+01,1.45E+01,-2.47E-02,-6.99E-02
6,Brazilian Current,Western Boundary Current,Ocean,3.07E-01,1.09E-09,9.99E-10,3.69E+00,1.43E+01,-8.01E-02,-6.06E-02
7,Tropical Western Atlantic,Tropical,River,1.12E+00,1.22E-09,1.12E-09,-1.99E+01,-2.45E+01,-8.74E-02,-7.28E-02
8,Caribbean Sea,Tropical,Ocean,9.31E-01,1.12E-09,1.05E-09,7.11E+00,4.88E+00,-1.04E-01,-7.42E-02
9,Gulf of Mexico,Marginal,Ocean,5.83E-01,1.10E-09,1.05E-09,1.16E+01,1.84E+01,-6.14E-02,-6.17E-02
10,Florida Upwelling,Western Boundary Current,Ocean,9.19E-01,9.68E-10,9.94E-10,-4.18E+00,7.60E+00,-2.01E-01,-1.21E-01
11,Sea of Labrador,Subpolar,Ocean,1.37E+00,1.36E-09,1.27E-09,-5.75E+00,1.45E+00,-1.74E-01,-1.93E-01
12,Hudson Bay,Marginal,Ocean,7.57E-01,1.52E-09,1.94E-09,1.79E+00,2.01E+00,-3.54E-01,-3.13E-01
13,Canadian Archipelagos,Polar,Ocean,4.61E-01,1.65E-09,1.35E-09,9.63E+00,1.15E+01,4.45E-02,5.67E-02
14,Northern Greenland,Polar,Ocean,9.80E-01,1.19E-09,1.13E-09,-9.56E-02,-1.89E+00,-1.11E-01,-7.34E-02
15,Southern Greenland,Subpolar,Ocean,2.29E+00,1.40E-09,1.43E-09,-2.23E+00,8.75E-02,-4.30E-01,-4.55E-01
16,Norwegian Basin,Subpolar,Ocean,2.27E+00,1.16E-09,1.18E-09,-9.11E-01,4.25E+00,-4.10E-01,-4.41E-01
17,North-eastern Atlantic,Subpolar,River,1.54E+00,1.29E-09,1.23E-09,-3.59E+00,1.14E+01,-2.80E-01,-2.90E-01
18,Baltic Sea,Marginal,River,1.83E+00,2.26E-11,2.07E-11,-2.15E+00,3.68E+01,-3.30E-01,-3.11E-01
19,Iberian Upwelling,Eastern Boundary Current,Ocean,6.58E-01,1.14E-09,1.04E-09,-3.47E+00,2.11E+01,-5.40E-02,-9.96E-02
20,Mediterranean Sea,Marginal,River,1.76E+00,8.36E-10,7.59E-10,2.74E-01,5.85E+00,-1.66E-01,-2.02E-01
21,Black Sea,Marginal,River,3.55E+18,-3.43E-24,-3.43E-24,0.00E+00,0.00E+00,3.02E+18,3.02E+18
22,Moroccan Upwelling,Eastern Boundary Current,Ocean,1.04E+00,1.15E-09,1.07E-09,-3.08E+01,1.78E+00,-4.58E-02,-5.33E-02
23,Tropical Eastern Atlantic,Tropical,Ocean,1.48E+00,1.26E-09,1.10E-09,-6.25E+01,-5.38E+01,6.82E-02,1.39E-01
24,South-western Africa,Eastern Boundary Current,Ocean,1.18E+00,9.60E-10,9.79E-10,-4.91E+01,-9.13E+01,3.47E-01,5.58E-01
25,Agulhas Current,Western Boundary Current,Ocean,6.84E-01,1.04E-09,1.10E-09,2.17E+00,8.69E+00,1.51E-02,2.25E-02
26,Tropical Western Indian,Tropical,Ocean,8.12E-01,7.73E-10,8.19E-10,1.50E+01,3.33E+01,-3.56E-02,-6.97E-02
27,Western Arabian Sea,Monsunal,Ocean,1.43E+00,8.72E-10,8.73E-10,-3.13E+01,-5.09E-01,4.86E-02,5.20E-02
28,Red Sea,Marginal,River,1.22E+00,6.11E-10,5.98E-10,1.98E+00,3.10E+00,-7.94E-02,-8.66E-02
29,Persian Gulf,Marginal,River,1.93E+00,4.73E-10,5.83E-10,4.20E+00,1.50E+01,-1.89E-01,-2.07E-01
30,Eastern Arabian Sea,Monsunal,Ocean,1.58E+00,9.99E-10,9.27E-10,-7.43E+01,-5.85E+01,1.15E-02,1.72E-02
31,Northern Bay of Bengal,Monsunal,River,1.28E+00,1.37E-09,1.21E-09,-3.27E+01,-1.34E+00,-7.98E-02,-8.84E-02
32,Tropical Eastern Indian,Tropical,River,9.04E-01,1.18E-09,1.19E-09,4.70E+00,1.38E+01,-6.50E-02,-6.64E-02
33,Leeuwin Current,Eastern Boundary Current,Ocean,-5.23E-02,8.95E-10,9.23E-10,3.65E+01,3.08E+01,-8.97E-03,-2.32E-04
34,Southern Australia,Subpolar,Ocean,1.51E-01,1.32E-09,1.26E-09,4.18E+01,3.26E+01,-3.01E-02,-3.01E-02
35,Eastern Australia Current,Western Boundary Current,Ocean,1.87E+00,8.03E-10,7.27E-10,2.61E+01,2.29E+01,-3.18E-01,-3.36E-01
36,New Zealand,Subpolar,Ocean,-4.15E-01,1.15E-09,1.07E-09,1.73E+01,1.69E+01,3.58E-02,9.44E-02
37,Northern Australia,Tropical,Ocean,9.16E-01,1.27E-09,1.16E-09,3.05E+01,5.93E+01,-1.42E-01,-1.57E-01
38,South East Asia,Tropical,River,9.79E-01,1.28E-09,1.17E-09,2.50E+01,5.21E+01,-1.37E-01,-1.53E-01
39,China Sea and Kuroshio,Western Boundary Current,River,6.39E-01,1.12E-09,1.01E-09,2.68E+00,3.67E+01,-9.04E-02,-1.03E-01
40,Sea of Japan,Marginal Sea,River,7.91E-01,1.04E-09,9.59E-10,1.02E+01,2.49E+01,-1.02E-01,-1.75E-01
41,Sea Okhotsk,Marginal Sea ,Ocean,7.13E-01,8.89E-10,8.94E-10,3.82E+01,4.29E+01,1.15E-01,9.79E-02
42,North-western Pacific,Subpolar,Ocean,5.34E-03,9.98E-10,1.18E-09,1.42E+01,1.89E+01,-1.75E-01,-2.19E-01
43,Siberian Shelves,Polar,River,4.29E-01,1.79E-09,2.01E-09,-1.05E+00,3.00E-01,1.52E-01,1.44E-01
44,Barents and Karra Seas,Polar,Ocean,1.49E+00,1.35E-09,1.40E-09,3.45E+00,5.50E+00,-8.81E-02,-9.47E-02
45,Antarctic Shelves,Polar,Ocean,1.60E-01,7.86E-10,7.83E-10,6.52E+00,7.51E+00,7.07E-03,-2.14E-02
