,Coastal Indicators,Trend Units,Model Trends,Model R value,Model P value,Observation Trends,Observation R value,Observation P value
0,SST,°C ppm-1,0.008747602,0.989274763,2.33E-33,0.008747602,0.989274763,2.33E-33
1,pH,10-9 M ppm-1,0.01922658,0.99981279,7.58E-60,0.016663526,-0.970210917,3.31E-43
2,NPP,Tg C yr-1 (Tg N yr-1)-1,0.049716547,0.996864978,2.13E-32,2.274177802,0.990982822,3.62E-17
3,O2,mg O2 l-1 yr-1 ppm-1,-0.000494831,-0.970210917,5.30E-25,-0.001629781,-0.985119027,1.13E-30
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
, GSAT,SSP126,,SSP370,SSP585,,,
,Mean,1.8,2.7,3.6,4.4,,,
,Min,1.3,2.1,2.8,3.3,,,
,Max,2.4,3.5,4.6,5.7,,,
,SST,,,,,,,
,,1.0829603,1.62444045,2.1659206,2.647236289,,,
,,0.782137994,1.263453683,1.684604911,1.985427217,,,
,,1.443947067,2.105756139,2.767565211,3.429374283,,,
,,,,,,,,
,CO2,54.7452381,246,386.9918271,596.8983445,,,
,,0.978860366,4.398549691,6.919523502,10.6727115,,,
,,0.864624949,3.885228103,6.111998058,9.427179767,,,
,,,,,,,,
,RiverN,2.428571429,34,43.71428571,31.57142857,,,
,NPP Model,0.120740186,1.6903626,2.173323343,1.569622414,,,
,NPP obs,0.198828116,2.78359363,3.578906096,2.584765514,,,
,,,,,,,,
,O2 Mean,-0.233903091,-0.350854636,-0.467806181,-0.571763111,,,
,O2 Min,-0.162335206,-0.262233794,-0.349645058,-0.412081676,,,
,O2 Max,-0.324045811,-0.472566808,-0.621087805,-0.769608802,,,
